evaporationRates,maxIteration,alpha,beta,Q,epsilon,method,AverageFitness
0.1000,100,2.5000,5.0000,100.0000,10.0000,1,291.4000
0.1000,100,2.5000,5.0000,100.0000,10.0000,2,294.0000
0.1000,100,2.5000,5.0000,100.0000,10.0000,3,296.8000
0.1000,300,1.0000,1.0000,10.0000,3.0000,1,291.0000
0.1000,300,1.0000,1.0000,10.0000,3.0000,2,291.0000
0.1000,300,1.0000,1.0000,10.0000,3.0000,3,292.2000
0.1000,300,1.0000,1.0000,10.0000,5.0000,1,291.0000
0.1000,300,1.0000,1.0000,10.0000,5.0000,2,291.2000
0.1000,300,1.0000,1.0000,10.0000,5.0000,3,291.2000
0.1000,300,1.0000,1.0000,10.0000,10.0000,1,291.0000
0.1000,300,1.0000,1.0000,10.0000,10.0000,2,293.6000
0.1000,300,1.0000,1.0000,10.0000,10.0000,3,291.6000
0.1000,300,1.0000,1.0000,100.0000,3.0000,1,291.0000
0.1000,300,1.0000,1.0000,100.0000,3.0000,2,291.4000
0.1000,300,1.0000,1.0000,100.0000,3.0000,3,294.8000
0.1000,300,1.0000,1.0000,100.0000,5.0000,1,291.0000
0.1000,300,1.0000,1.0000,100.0000,5.0000,2,292.0000
0.1000,300,1.0000,1.0000,100.0000,5.0000,3,294.8000
0.1000,300,1.0000,1.0000,100.0000,10.0000,1,291.0000
0.1000,300,1.0000,1.0000,100.0000,10.0000,2,294.4000
0.1000,300,1.0000,1.0000,100.0000,10.0000,3,294.4000
0.1000,300,1.0000,2.0000,10.0000,3.0000,1,291.0000
0.1000,300,1.0000,2.0000,10.0000,3.0000,2,291.0000
0.1000,300,1.0000,2.0000,10.0000,3.0000,3,291.0000
0.1000,300,1.0000,2.0000,10.0000,5.0000,1,291.0000
0.1000,300,1.0000,2.0000,10.0000,5.0000,2,291.0000
0.1000,300,1.0000,2.0000,10.0000,5.0000,3,291.0000
0.1000,300,1.0000,2.0000,10.0000,10.0000,1,291.0000
0.1000,300,1.0000,2.0000,10.0000,10.0000,2,291.2000
0.1000,300,1.0000,2.0000,10.0000,10.0000,3,291.0000
0.1000,300,1.0000,2.0000,100.0000,3.0000,1,291.0000
0.1000,300,1.0000,2.0000,100.0000,3.0000,2,291.0000
0.1000,300,1.0000,2.0000,100.0000,3.0000,3,292.2000
0.1000,300,1.0000,2.0000,100.0000,5.0000,1,291.0000
0.1000,300,1.0000,2.0000,100.0000,5.0000,2,291.2000
0.1000,300,1.0000,2.0000,100.0000,5.0000,3,292.6000
0.1000,300,1.0000,2.0000,100.0000,10.0000,1,291.0000
0.1000,300,1.0000,2.0000,100.0000,10.0000,2,291.0000
0.1000,300,1.0000,2.0000,100.0000,10.0000,3,293.9500
0.1000,300,1.0000,5.0000,10.0000,3.0000,1,291.0000
0.1000,300,1.0000,5.0000,10.0000,3.0000,2,291.0000
0.1000,300,1.0000,5.0000,10.0000,3.0000,3,291.0000
0.1000,300,1.0000,5.0000,10.0000,5.0000,1,291.0000
0.1000,300,1.0000,5.0000,10.0000,5.0000,2,291.0000
0.1000,300,1.0000,5.0000,10.0000,5.0000,3,291.0000
0.1000,300,1.0000,5.0000,10.0000,10.0000,1,291.0000
0.1000,300,1.0000,5.0000,10.0000,10.0000,2,291.0000
0.1000,300,1.0000,5.0000,10.0000,10.0000,3,291.0000
0.1000,300,1.0000,5.0000,100.0000,3.0000,1,291.0000
0.1000,300,1.0000,5.0000,100.0000,3.0000,2,291.0000
0.1000,300,1.0000,5.0000,100.0000,3.0000,3,291.0000
0.1000,300,1.0000,5.0000,100.0000,5.0000,1,291.0000
0.1000,300,1.0000,5.0000,100.0000,5.0000,2,291.0000
0.1000,300,1.0000,5.0000,100.0000,5.0000,3,291.0000
0.1000,300,1.0000,5.0000,100.0000,10.0000,1,291.0000
0.1000,300,1.0000,5.0000,100.0000,10.0000,2,291.0000
0.1000,300,1.0000,5.0000,100.0000,10.0000,3,291.0000
0.1000,300,2.5000,1.0000,10.0000,3.0000,1,308.9500
0.1000,300,2.5000,1.0000,10.0000,3.0000,2,323.2000
0.1000,300,2.5000,1.0000,10.0000,3.0000,3,301.6500
0.1000,300,2.5000,1.0000,10.0000,5.0000,1,307.0000
0.1000,300,2.5000,1.0000,10.0000,5.0000,2,336.1000
0.1000,300,2.5000,1.0000,10.0000,5.0000,3,298.3000
0.1000,300,2.5000,1.0000,10.0000,10.0000,1,300.7000
0.1000,300,2.5000,1.0000,10.0000,10.0000,2,364.2500
0.1000,300,2.5000,1.0000,10.0000,10.0000,3,300.1500
0.1000,300,2.5000,1.0000,100.0000,3.0000,1,342.6000
0.1000,300,2.5000,1.0000,100.0000,3.0000,2,359.0500
0.1000,300,2.5000,1.0000,100.0000,3.0000,3,338.3500
0.1000,300,2.5000,1.0000,100.0000,5.0000,1,339.6500
0.1000,300,2.5000,1.0000,100.0000,5.0000,2,370.9000
0.1000,300,2.5000,1.0000,100.0000,5.0000,3,360.7000
0.1000,300,2.5000,1.0000,100.0000,10.0000,1,336.2000
0.1000,300,2.5000,1.0000,100.0000,10.0000,2,406.8500
0.1000,300,2.5000,1.0000,100.0000,10.0000,3,366.1000
0.1000,300,2.5000,2.0000,10.0000,3.0000,1,292.2000
0.1000,300,2.5000,2.0000,10.0000,3.0000,2,294.4000
0.1000,300,2.5000,2.0000,10.0000,3.0000,3,293.4000
0.1000,300,2.5000,2.0000,10.0000,5.0000,1,294.2000
0.1000,300,2.5000,2.0000,10.0000,5.0000,2,300.5500
0.1000,300,2.5000,2.0000,10.0000,5.0000,3,291.8000
0.1000,300,2.5000,2.0000,10.0000,10.0000,1,291.8000
0.1000,300,2.5000,2.0000,10.0000,10.0000,2,312.0500
0.1000,300,2.5000,2.0000,10.0000,10.0000,3,291.8000
0.1000,300,2.5000,2.0000,100.0000,3.0000,1,299.9500
0.1000,300,2.5000,2.0000,100.0000,3.0000,2,310.0500
0.1000,300,2.5000,2.0000,100.0000,3.0000,3,320.5000
0.1000,300,2.5000,2.0000,100.0000,5.0000,1,302.3000
0.1000,300,2.5000,2.0000,100.0000,5.0000,2,320.4000
0.1000,300,2.5000,2.0000,100.0000,5.0000,3,324.8500
0.1000,300,2.5000,2.0000,100.0000,10.0000,1,301.9000
0.1000,300,2.5000,2.0000,100.0000,10.0000,2,344.5500
0.1000,300,2.5000,2.0000,100.0000,10.0000,3,341.7500
0.1000,300,2.5000,5.0000,10.0000,3.0000,1,291.0000
0.1000,300,2.5000,5.0000,10.0000,3.0000,2,291.0000
0.1000,300,2.5000,5.0000,10.0000,3.0000,3,291.0000
0.1000,300,2.5000,5.0000,10.0000,5.0000,1,291.0000
0.1000,300,2.5000,5.0000,10.0000,5.0000,2,291.0000
0.1000,300,2.5000,5.0000,10.0000,5.0000,3,291.0000
0.1000,300,2.5000,5.0000,10.0000,10.0000,1,291.2000
0.1000,300,2.5000,5.0000,10.0000,10.0000,2,291.2000
0.1000,300,2.5000,5.0000,10.0000,10.0000,3,291.0000
0.1000,300,2.5000,5.0000,100.0000,3.0000,1,292.2000
0.1000,300,2.5000,5.0000,100.0000,3.0000,2,291.0000
0.1000,300,2.5000,5.0000,100.0000,3.0000,3,296.6000
0.1000,300,2.5000,5.0000,100.0000,5.0000,1,291.8000
0.1000,300,2.5000,5.0000,100.0000,5.0000,2,292.8000
0.1000,300,2.5000,5.0000,100.0000,5.0000,3,292.8000
0.1000,300,2.5000,5.0000,100.0000,10.0000,1,291.2000
0.1000,300,2.5000,5.0000,100.0000,10.0000,2,293.6000
0.1000,300,2.5000,5.0000,100.0000,10.0000,3,293.8000
0.3000,50,1.0000,1.0000,10.0000,3.0000,1,291.6000
0.3000,50,1.0000,1.0000,10.0000,3.0000,2,295.1000
0.3000,50,1.0000,1.0000,10.0000,3.0000,3,294.6000
0.3000,50,1.0000,1.0000,10.0000,5.0000,1,292.4000
0.3000,50,1.0000,1.0000,10.0000,5.0000,2,293.6000
0.3000,50,1.0000,1.0000,10.0000,5.0000,3,298.6000
0.3000,50,1.0000,1.0000,10.0000,10.0000,1,291.6000
0.3000,50,1.0000,1.0000,10.0000,10.0000,2,299.1500
0.3000,50,1.0000,1.0000,10.0000,10.0000,3,297.1500
0.3000,50,1.0000,1.0000,100.0000,3.0000,1,292.4000
0.3000,50,1.0000,1.0000,100.0000,3.0000,2,293.8000
0.3000,50,1.0000,1.0000,100.0000,3.0000,3,310.6000
0.3000,50,1.0000,1.0000,100.0000,5.0000,1,292.6000
0.3000,50,1.0000,1.0000,100.0000,5.0000,2,294.4000
0.3000,50,1.0000,1.0000,100.0000,5.0000,3,305.3000
0.3000,50,1.0000,1.0000,100.0000,10.0000,1,292.8000
0.3000,50,1.0000,1.0000,100.0000,10.0000,2,302.2000
0.3000,50,1.0000,1.0000,100.0000,10.0000,3,315.2000
0.3000,50,1.0000,2.0000,10.0000,3.0000,1,291.0000
0.3000,50,1.0000,2.0000,10.0000,3.0000,2,291.2000
0.3000,50,1.0000,2.0000,10.0000,3.0000,3,293.2000
0.3000,50,1.0000,2.0000,10.0000,5.0000,1,291.0000
0.3000,50,1.0000,2.0000,10.0000,5.0000,2,291.8000
0.3000,50,1.0000,2.0000,10.0000,5.0000,3,291.8000
0.3000,50,1.0000,2.0000,10.0000,10.0000,1,291.0000
0.3000,50,1.0000,2.0000,10.0000,10.0000,2,292.4000
0.3000,50,1.0000,2.0000,10.0000,10.0000,3,292.2000
0.3000,50,1.0000,2.0000,100.0000,3.0000,1,291.0000
0.3000,50,1.0000,2.0000,100.0000,3.0000,2,292.0000
